Story,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12,Mode 13,Mode 14,Mode 15,Mode 16,Mode 17,Mode 18,Mode 19,Mode 20
1,0.004940424,0.029562903,0.079383415,0.154842216,-0.264037165,0.378722915,-0.502602821,0.584190126,-0.721258411,0.776563454,-0.879695385,0.957407835,-0.986133798,0.916685265,-0.838453983,0.897493169,-0.753863492,0.670733922,-0.599914038,0.615076935
2,0.016824113,0.095094652,0.239901607,0.43339833,-0.673721074,0.860895202,-1,0.989449745,-1,0.829850717,-0.652494769,0.414113446,-0.12643075,-0.149131425,0.355946527,-0.589099394,0.658206591,-0.71476223,0.740917006,-0.878042921
3,0.035236169,0.186995924,0.437075816,0.71154149,-0.960326505,1,-0.870343754,0.532597835,-0.151858696,-0.268728475,0.646137731,-0.887729177,0.93566238,-0.744045818,0.465124057,-0.197865964,-0.138424919,0.414192841,-0.634730552,1
4,0.059672993,0.295312877,0.628683555,0.887266342,-0.953139927,0.633363607,-0.110750834,-0.434711847,0.869851063,-0.937645748,0.741838981,-0.290378347,-0.266141635,0.663592611,-0.794061771,0.825125673,-0.483428321,0.097362224,0.309805833,-0.958148656
5,0.090168931,0.410872317,0.774211025,0.881712702,-0.596287841,-0.090978524,0.728549927,-0.936937381,0.735422643,-0.092471553,-0.58696555,0.958075752,-0.827119295,0.266712085,0.305683759,-0.783448655,0.810963235,-0.565901231,0.096928573,0.830699744
6,0.126695927,0.523965639,0.83981114,0.666571785,0.003622989,-0.760323817,0.951702438,-0.405577239,-0.421188202,0.929909792,-0.793955177,0.076120932,0.69717751,-0.883015053,0.48503325,0.152247972,-0.697055824,0.829245591,-0.4828903,-0.687292522
7,0.168663756,0.62493555,0.809011124,0.288287955,0.600180071,-0.954011438,0.361470308,0.575598869,-0.999610655,0.407121443,0.553936165,-0.969336421,0.444993073,0.452246331,-0.816972443,0.58462238,0.224556981,-0.813256713,0.781755162,0.544096898
8,0.215491757,0.705456126,0.680831405,-0.161679315,0.947556307,-0.549351086,-0.548149784,0.929738112,-0.195897492,-0.808339791,0.815233687,0.18673286,-0.953698732,0.512553505,0.395867072,-0.912444714,0.361994274,0.534738786,-0.950528967,-0.407080047
9,0.266840047,0.757167481,0.464951223,-0.568189119,0.883981321,0.214453187,-0.985830559,0.231247981,0.893884793,-0.653900697,-0.566649482,0.920780417,0.117544345,-0.899833487,0.376988946,0.63280822,-0.780750629,-0.106157126,1,0.292210569
10,0.322344402,0.773164168,0.185752351,-0.819950457,0.421047886,0.847184835,-0.542294708,-0.745608788,0.710775252,0.639503424,-0.804641456,-0.49553891,0.888963151,0.297388934,-0.832845555,0.046269511,0.868749838,-0.347823613,-0.964799835,-0.205309197
11,0.38141404,0.750071587,-0.117867376,-0.848235568,-0.235661135,0.925545553,0.390078321,-0.860332125,-0.494171029,0.817556972,0.604148302,-0.743172015,-0.683885347,0.622359509,0.595187144,-0.694339924,-0.601827738,0.721098716,0.859678165,0.139800705
12,0.44348507,0.68668798,-0.403213312,-0.645545202,-0.798037957,0.393163751,0.985247165,0.030100613,-0.997501372,-0.443946534,0.77603183,0.774579823,-0.445748907,-0.885822958,0.129401988,0.931373671,0.098379683,-0.939923828,-0.704162479,-0.090656871
13,0.508169018,0.58149654,-0.625557399,-0.258522296,-1,-0.412487592,0.675354602,0.895084264,-0.025178382,-0.924616697,-0.688356501,0.437512676,1,0.243277415,-0.755506871,-0.65530305,0.438066864,1,0.540821676,0.056582774
14,0.575073921,0.43518136,-0.745912329,0.208591067,-0.728885583,-0.940929325,-0.282158101,0.677675207,0.998503904,0.273664002,-0.695583983,-0.974496155,-0.286063552,0.644181913,0.831169399,0.044665695,-0.841447056,-0.93669,-0.396312077,-0.034573086
15,0.643690409,0.252760143,-0.742486368,0.617286008,-0.109325187,-0.815278924,-0.979011973,-0.372227038,0.501931844,0.96252319,0.785765276,0.008745593,-0.774852591,-0.904615708,-0.315810486,0.584049971,1,0.769903002,0.269606887,0.020114422
16,0.713563008,0.040618973,-0.610539407,0.846553894,0.573849638,-0.113625501,-0.759654313,-1,-0.802815228,-0.142842963,0.571423201,0.99921547,0.918404768,0.331201385,-0.41809703,-0.953612764,-0.908955356,-0.545668396,-0.164005521,-0.010685387
17,0.784419905,-0.197414693,-0.344004991,0.783653322,0.95659404,0.678522539,0.236145191,-0.330655215,-0.83580314,-1,-0.965622305,-0.607481926,-0.047312504,0.515392553,0.918635115,1,0.696098386,0.346508784,0.091587685,0.00529044
18,0.85598703,-0.455784069,0.042888867,0.390295047,0.768518452,0.909588948,0.979221003,0.798080482,0.539401774,0.146095858,-0.250342181,-0.612743316,-0.889563839,-1,-1,-0.814314996,-0.467230564,-0.203175601,-0.04860605,-0.00254741
19,0.927924661,-0.725620217,0.505268736,-0.246829793,0.039502055,0.305688793,0.561460963,0.728702846,0.902052108,0.917870323,1,1,0.934739807,0.792611586,0.653638366,0.462904315,0.23760685,0.094731487,0.021159691,0.001033456
20,1,-1,1,-1,-0.984570328,-0.845269486,-0.81609024,-0.708838345,-0.653989302,-0.527980812,-0.476053955,-0.410786214,-0.339519137,-0.260049492,-0.19780381,-0.1313438,-0.063812578,-0.024320885,-0.005235297,-2.46E-04
